id,full_name,phone_number,aadhaar_number,pan_card_number,date_of_birth,address,city,state,pincode
10063,Rohit Biswas,9627828274,425790507236,ZNMRK8400Y,1979-10-14,"231, Bose Marg, Bose Area",Rajkot,Gujarat,360001
10064,Kavya Biswas,6485807836,334074517133,VPJSQ1122B,1991-06-22,"Flat 17V, Kamaraj Residency",Kochi,Kerala,682005
10065,Ayaan Murugan,7232536729,666711684577,IAUTT4630R,1995-09-06,"# 507, Saraswati Bhavan, Vivekananda Lane",Madurai,Tamil Nadu,625005
10066,Epsita Mishra,6170127706,524241541520,KHSGR7041H,1999-12-05,"Door No. 837, Ambedkar Avenue",Mumbai,Maharashtra,400001
10067,Neha Annamalai,8426221890,475326973112,TPJZI1205T,1985-07-24,"211/17, Patel Layout",Raipur,Chhattisgarh,492001
10068,Hetal Parekh,6379180552,896582710910,GBBUN6547C,1973-09-12,"Flat 13S, Patel Residency",Vadodara,Gujarat,390002
10069,Uttam Krishnan,6316179904,410202758842,JTWTD8345I,1966-11-30,"57, Mohan Layout, Vallabh Area",Visakhapatnam,Andhra Pradesh,530004
10070,Debarati Srivastava,7800030756,420863536541,ODRBF5048J,1987-11-15,"9, Indira Colony, Indira Area",Jodhpur,Rajasthan,342002
10071,Hetal Iyer,7206038505,264138367024,CXXNS3900E,1995-05-19,"No. 446, Laxmi Complex, Anna Nagar",Aurangabad,Maharashtra,431007
10072,Meenakshi Banerjee,8313291212,975618537474,WCUHS6281W,1982-04-08,"No. 694, Laxmi Marg",Lucknow,Uttar Pradesh,226007
10073,Nilesh Rajput,7100323651,610137215107,BYLSM3439I,1985-02-08,"No. 629, Bhagat Layout",Siliguri,West Bengal,734002
10074,Sneha Murugan,9263838065,987598564205,PAVHV4352F,1968-12-25,"547, JP Street, Tagore Area",Ahmedabad,Gujarat,380005
10075,Meenakshi Joshi,6599293784,470103930870,IPUIE8801W,1972-09-15,"984/13, Shivaji Lane",Raipur,Chhattisgarh,492002
10076,Uttam Kothari,9528953926,642209690295,XZFOY1729F,1967-12-17,"Door No. 458, Gandhi Marg",Panaji,Goa,403006
10077,Reyansh Parekh,9626765861,993271040541,BEJTO8056P,1962-10-12,"622, Vallabh Avenue, Shyam Area",Howrah,West Bengal,711106
10078,Tapan Mitra,8443106987,405061497310,FQZMD7482U,1994-10-07,"H.No. 379, Vivekananda Niwas, Subhash Path",Chennai,Tamil Nadu,600028
10079,Ishwar Pandey,7115869380,886879374160,NXURQ1719G,1977-04-16,"H.No. 81, Anna Avenue",Mysuru,Karnataka,570001
10080,Sneha Parekh,9854870998,816229991191,UWWWG6541M,1972-11-26,"No. 406, Nehru Niwas, Vallabh Lane",Gurugram,Haryana,122007
10081,Saraswathi Murugan,9132475469,337367850821,INDWW0188H,1962-12-19,"Door No. 722, Tilak Marg",Hyderabad,Telangana,500001
10082,Lata Bhatt,9972798552,614060293333,GKAUT0966A,1980-01-28,"434, Vallabh Avenue, Anna Area",Surat,Gujarat,395005
10083,Deepika Qureshi,9910858994,617154544432,NGBWV4310P,1986-07-09,"398, Periyar Street, Anna Area",Surat,Gujarat,395007
10084,Himangshu Ghosh,8842824172,682513534655,GHWMW5908Q,1970-10-01,"Plot 424, Tilak Enclave, Nehru Nagar",Imphal,Manipur,795004
10085,Subhas Menon,6752500743,492712966667,JAFJA3816U,1982-04-28,"Door No. 320, Patel Complex, Rajiv Road",Tiruchirappalli,Tamil Nadu,620008
10086,Kiran Dey,8625753260,532309821506,WGNBZ6606N,1999-11-11,"486, Kamaraj Nagar, Anna Area",Varanasi,Uttar Pradesh,221002
10087,Krishnamurthy Qureshi,7618914117,593483564208,MFYIA6986E,1968-01-30,"927/15, Vivekananda Colony",Raipur,Chhattisgarh,492002
10088,Sai Arumugam,8561100225,779415521667,HKWUQ7160F,1969-04-21,"Flat 5P, Bhagat Niwas",Kolkata,West Bengal,700010
10089,Chirag Yadav,6450899358,363756289002,NMMET3325R,1993-12-20,"Flat 471, Gopal Layout",Agra,Uttar Pradesh,282004
10090,Neha Thakkar,9088019948,575503758997,SJLCR0367R,1993-07-17,"No. 919, Subhash Path",Gaya,Bihar,823001
10091,Anitha Reddy,9351609177,470808697829,EVCRP3846W,1982-04-09,"994, Laxmi Path, Laxmi Area",Vadodara,Gujarat,390007
10092,Meenakshi Mahato,7339452288,715879968460,NADRF7122B,1986-06-24,"368/4, JP Path",Madurai,Tamil Nadu,625010
10093,Jalpa Selvam,6666580043,935989334721,EENJL5152K,2001-11-01,"No. 158, Saraswati Layout",Bhubaneswar,Odisha,751003
10094,Fanai Annamalai,7281826886,353355543987,ZVZAR4966B,1988-10-16,"Flat 17Z, Bose Bhavan",Varanasi,Uttar Pradesh,221002
10095,Sai Arumugam,7581128801,536138612075,ABEGB8944M,1998-11-06,"690, Ambedkar Cross, Indira Area",Jodhpur,Rajasthan,342001
10096,Neha Arumugam,8914766072,526842450882,DAPNY3793N,2005-12-25,"227, Bhagat Marg, Gopal Area",Hubli,Karnataka,580003
10097,Diya Arumugam,6413975523,349135775949,DOVYE3776I,1992-04-01,"899, Mohan Path, Subhash Area",Mysuru,Karnataka,570010
10098,Priya Murugan,7834110809,893084887256,FUTHM5356Z,1974-11-17,"Flat 16L, Subhash Apartment",Ranchi,Jharkhand,834003
10099,Usha Tiwari,8530385677,205184498926,QJQVN3953L,2003-09-05,"514/15, Vallabh Nagar",Dehradun,Uttarakhand,248008
10100,Vijay Saxena,8913651777,592603029922,QBOBG1955A,1985-06-06,"622, Mohan Path, Bhagat Area",New Delhi,Delhi,110005
10101,Subramaniam Chandra,8799136621,238862912799,BUNDM1688Y,1998-09-17,"896/14, Nehru Cross",Thiruvananthapuram,Kerala,695004
10102,Venkatesh Bose,7149864300,380635651269,GWLJH6747P,1976-01-13,"315/13, Azad Lane",Kanpur,Uttar Pradesh,208010
10103,Pooja Reddy,9589026012,996114351906,YKRHZ0714A,1978-02-04,"200/17, Nehru Layout",Jammu,Jammu and Kashmir,180006
10104,Anindita Sharma,7146566938,211848955439,ZLKAE5553D,1983-02-13,"Flat 11Y, Gopal Niwas",Shillong,Meghalaya,793005
10105,Lalit Singh,9141633565,243416518275,JXGYR9417I,1978-07-20,"# 857, Bhagat Lane",Tiruchirappalli,Tamil Nadu,620002
10106,Chinglen Mitra,6759579472,663920867808,JWULD5306M,1969-01-14,"Flat 20K, Bose Enclave",Jodhpur,Rajasthan,342008
10107,Vijayalakshmi Iyengar,9556472929,514386632270,EMZWN7735S,1964-04-12,"House No. 62, JP Residency, Tilak Marg",Agra,Uttar Pradesh,282002
10108,Ganesh Mandal,8506159399,445587716947,QDEVI6580F,1990-10-29,"669, Laxmi Marg, Periyar Area",Tiruchirappalli,Tamil Nadu,620003
10109,Komal Banerjee,9220234132,811178006811,GERXI2261F,1962-07-25,"885, Mohan Path, Subhash Area",Nagpur,Maharashtra,440015
10110,Manish Mukherjee,9884578317,656424008254,MAXYM0422A,1993-07-09,"405/13, Tagore Nagar",Coimbatore,Tamil Nadu,641004
10111,Komal Siddiqui,8484631224,379749735020,ZAZHD4000G,1990-09-03,"381, Gopal Street, Shivaji Area",Kolkata,West Bengal,700005
10112,Pratik Menon,7460136730,571837645208,NGQFX8216K,1961-05-08,"Flat 406, Netaji Colony",Mangaluru,Karnataka,575003
10113,Savita Saxena,9195005281,473585730652,GBSOO4553O,1984-09-12,"71, Patel Nagar, Gandhi Area",Imphal,Manipur,795005
10114,Harish Menon,6959351863,982945651181,BYEAC1063P,1982-12-17,"621, Kamaraj Road, Indira Area",Nashik,Maharashtra,422003
10115,Dilip Dalal,8094801413,313863383928,TKCQJ4681F,1996-01-10,"Flat 18K, Bhagat Enclave",Vijayawada,Andhra Pradesh,520003
10116,Deepika Patel,7983684577,800490824043,FIUYV9555D,1963-05-21,"142, Vivekananda Lane, Shivaji Area",Hyderabad,Telangana,500006
10117,Sumitha Mondal,7157279194,296105566139,YQQBN3536E,1964-07-13,"771/17, Bhagat Layout",Patna,Bihar,800007
10118,Karthik Shukla,9908641686,427837693898,GBUIY0643K,1990-11-28,"Plot 174, Bhagat Heights, Indira Layout",Amritsar,Punjab,143001
10119,Suresh Shukla,6039240514,970538338848,MSDSA5601J,1978-01-02,"Flat 12D, MG Apartment",Dehradun,Uttarakhand,248005
10120,Usha Parikh,6579812387,203845762055,JHZZH0239A,1985-02-19,"919/3, Ram Nagar",Tiruchirappalli,Tamil Nadu,620002
10121,Jayesh Mittal,9495782329,524826292518,NSEVD0399J,1999-09-29,"798, Tilak Road, Bhagat Area",Guwahati,Assam,781005
10122,Biswajit Naidu,7305172897,726772233060,YYFRF2194T,2003-12-15,"S.No. 909, EVR Apartment, Tagore Avenue",Gaya,Bihar,823003
10123,Anitha Siddiqui,6817703886,286803476447,EHXRX4605F,1972-02-20,"462/15, Gandhi Nagar",Agra,Uttar Pradesh,282007
10124,Subhas Agarwal,6175186892,886025922220,KITLQ1126I,1961-02-04,"Flat 8G, Netaji Niwas",Hyderabad,Telangana,500008
10125,Chirag Shukla,6384983022,250209945101,KERPR5714S,1992-04-24,"331/3, Indira Avenue",Nagpur,Maharashtra,440002
10126,Ishaan Pinto,8586833901,379469548995,YPMSM8822G,1960-02-21,"641, Netaji Road, Indira Area",Bengaluru,Karnataka,560001
10127,Binita Ali,7034414488,701556990235,VXMMA1148K,2001-06-28,"856, Patel Marg, Tilak Area",Dehradun,Uttarakhand,248007
10128,Epsita Shah,8124056829,829145046173,JVHNE3020Q,1962-03-28,"195, Saraswati Path, JP Area",Shimla,Himachal Pradesh,171008
10129,Debarati Bansal,7076810409,357018409435,FHNUR2119R,1969-03-08,"Door No. 563, Kamaraj Complex, Saraswati Marg",Madurai,Tamil Nadu,625007
10130,Biswajit Mehta,9020701601,862997954538,CXTOC8603U,2001-10-02,"# 148, Indira Vihar, Sardar Layout",Warangal,Telangana,506002
10131,Kiran Sengupta,6171577245,481615814876,PGGEM0264N,1990-09-13,"679, Anna Road, Saraswati Area",Kochi,Kerala,682004
10132,Pooja Chatterjee,7461919657,213290227846,QLFWH7699W,1990-11-19,"H.No. 868, Indira Bhavan, Rajiv Marg",New Delhi,Delhi,110001
10133,Kavya Selvam,6369656666,527238656242,DBASM4906N,2000-11-29,"639/17, Subhash Path",Agartala,Tripura,799005
10134,Vijayalakshmi Ansari,6973846895,209751971284,MCXCM7906Z,1988-01-13,"Door No. 548, Gopal Bhavan, EVR Street",Gurugram,Haryana,122001
10135,Amrita Arumugam,8209494079,490490471281,WHDHW0115E,2000-01-26,"802, Kamaraj Colony, Rajiv Area",Kanpur,Uttar Pradesh,208003
10136,Deepika Mittal,9663723950,610276747836,RKGNL2733Q,1963-09-06,"626/11, MG Marg",Delhi,Delhi,110051
10137,Uttam Rodrigues,7852580010,818175344300,QBPXF5190T,1971-08-27,"Flat 713, Gopal Residency, Subhash Marg",Varanasi,Uttar Pradesh,221003
10138,Venkatesh Saxena,6406650442,917396271286,FQXSC0524P,1973-05-09,"Flat 13S, Ram Apartment",Bhopal,Madhya Pradesh,462001
10139,Rajan Kothari,9183067198,754601585174,QEBJE6863C,1999-04-17,"House No. 37, Tagore Niwas, Tilak Street",Guwahati,Assam,781004
10140,Hetal Paul,9005050613,982931027079,BSDEB3741S,1965-09-26,"Flat 510, Bhagat Layout",Panaji,Goa,403001
10141,Epsita Biswas,7530925114,462582739021,UQJEW0097S,1985-06-15,"212/17, Rajiv Marg",Kolkata,West Bengal,700010
10142,Subhas Dasgupta,6456083318,395883734031,URZME6062N,1982-07-21,"S.No. 45, Ambedkar Street",Udaipur,Rajasthan,313011
10143,Lata Chatterjee,8635315313,836317970623,YLKDS6921W,1965-05-08,"873, Gopal Path, Netaji Area",Vadodara,Gujarat,390003
10144,Mahesh Biswas,7168739774,263356939290,KBZTN4386D,2000-08-03,"Flat 572, EVR Street",Visakhapatnam,Andhra Pradesh,530002
10145,Aditya Bose,8279907726,457016580464,SPOFR6395V,1992-08-27,"Flat 393, Indira Path",Shillong,Meghalaya,793001
10146,Haresh Iyengar,7538179335,748640155778,NDSRN2679Z,1965-11-20,"83/10, Ram Nagar",Coimbatore,Tamil Nadu,641004
10147,Hetal Mittal,7804682756,904310385695,RUMRN5458J,1975-05-29,"496/2, Indira Marg",Dehradun,Uttarakhand,248005
10148,Subhas Paul,8222231059,474523805525,LZNDA9799E,1960-05-20,"Plot 486, Vallabh Marg",Guwahati,Assam,781006
10149,Uttam Bose,6281406937,715093983430,CWRYZ3465B,1992-05-23,"379, Ram Lane, Sardar Area",Agra,Uttar Pradesh,282003
10150,Sneha Reddy,9674266299,323478519610,KXKOS7113R,2004-01-05,"Flat 5I, Bose Complex",Nagpur,Maharashtra,440013
10151,Ishaan Fernandes,8627301471,797964715890,VEBIW1124L,1964-05-15,"Flat 527, Bhagat Heights, Tilak Nagar",Rajkot,Gujarat,360003
10152,Krishnamurthy Gomes,8189520284,776521328338,PVNNO7140E,1961-07-23,"Plot 708, Indira Nagar",Warangal,Telangana,506003
10153,Seema Bansal,7342321611,276031089071,XBHAC1652V,1991-07-16,"867, Periyar Marg, Patel Area",Pune,Maharashtra,411002
10154,Ananya Chauhan,6833428013,959271256638,FCZDC1775B,1967-05-19,"Flat 395, Periyar Complex, Laxmi Path",Jodhpur,Rajasthan,342011
10155,Vijayalakshmi Pillai,6752071678,312669121535,FVKGL4775Y,1995-11-27,"Flat 4D, Patel Complex",Lucknow,Uttar Pradesh,226010
10156,Usha Ahmed,7010170269,724991187734,RMGIW5904D,1994-06-01,"Flat 10W, Gopal Heights",Siliguri,West Bengal,734003
10157,Rohit Natarajan,9719788977,480647969545,BPDJV5763N,1990-12-18,"Door No. 58, Tagore Complex, Anna Colony",Lucknow,Uttar Pradesh,226007
10158,Kavya Mehta,7085076986,607905696591,VCRIN7363N,1978-02-06,"861/7, Sardar Cross",Visakhapatnam,Andhra Pradesh,530006
10159,Debashis Tripathi,6954198763,714846853664,QLTEA7852X,2001-12-03,"Flat 5X, Tilak Complex",Vadodara,Gujarat,390007
10160,Revathi Annamalai,6364424936,512303477866,QAEDG8618X,2003-08-03,"No. 881, Vallabh Road",Dehradun,Uttarakhand,248001
10161,Anitha Goel,7198189847,339155963632,CFHKW0561R,1998-01-07,"# 987, Vivekananda Nagar",Warangal,Telangana,506006
10162,Gargi Pereira,7486451837,806441343275,WTKAW8944K,1997-11-22,"House No. 716, Indira Vihar, Vivekananda Cross",Shillong,Meghalaya,793001
10163,Kiran Pinto,6027206345,312382965772,GRVUF4189S,1980-02-20,"# 929, Vivekananda Heights, Shivaji Path",Pune,Maharashtra,411001
10164,Suresh Tripathi,8291086771,533447626393,ZHRKK1226H,1993-02-28,"Flat 7W, Mohan Vihar",Ludhiana,Punjab,141008
10165,Bikash Khan,8118005375,204896465280,PGNYW1351D,1988-02-08,"S.No. 893, Shyam Complex, JP Marg",Nagpur,Maharashtra,440003
10166,Malathi Chandra,8728703203,407427617075,ZOLCS1322F,2005-08-22,"# 598, Gandhi Cross",Panaji,Goa,403003
10167,Kavitha Singh,8165915201,977490509759,DWUHU7560I,1975-12-21,"Flat 22, Ram Vihar, Sardar Colony",Ahmedabad,Gujarat,380013
10168,Sanjay Kothari,8925158377,874996165926,QCNZR6795U,1967-07-14,"H.No. 82, Rajiv Heights, Netaji Path",Rajkot,Gujarat,360004
10169,Ishwar Mishra,6081866179,654918017226,BKSIS7483Z,1976-10-16,"Flat 765, Bhagat Marg",Madurai,Tamil Nadu,625002
10170,Mahesh Fernandes,9769749956,612203103037,QQLQU1344A,1970-06-13,"987, Mohan Path, Laxmi Area",Mangaluru,Karnataka,575002
10171,Elina Modi,6501667998,607678997308,AOOGQ8166O,1999-02-19,"Flat 17H, Tilak Enclave",Pune,Maharashtra,411004
10172,Rahul Arumugam,9657293417,423297167433,OZJGR1858K,1998-08-19,"576/9, Tagore Path",Bengaluru,Karnataka,560004
10173,Gargi Das,6077119918,281213524787,TCQID8447H,2002-06-30,"88/14, Vivekananda Lane",Udaipur,Rajasthan,313003
10174,Rohit Sanghavi,9678507208,315562606029,BQSRN2465J,1988-02-22,"922, Patel Layout, Vallabh Area",Lucknow,Uttar Pradesh,226001
10175,Debashis Qureshi,9563410856,488431884852,AXOGV3457L,1983-04-21,"49, EVR Road, Netaji Area",Faridabad,Haryana,121006
10176,Ishwar Ahmed,7544926831,789357126611,BXMLJ5553I,2004-10-01,"706, Mohan Avenue, Rajiv Area",Faridabad,Haryana,121007
10177,Minal Agarwal,7770285196,315940821545,HMUDP0882X,2003-11-07,"Flat 19O, Sardar Enclave",Mumbai,Maharashtra,400002
10178,Pratik Ansari,7287772519,863658074120,OUSOD5165B,1976-12-28,"124, Anna Cross, Shivaji Area",Ranchi,Jharkhand,834008
10179,Abhijit Patel,9907056260,764111824224,TEYRB9172D,1988-09-17,"265, Ram Road, Mohan Area",Hubli,Karnataka,580029
10180,Biren Roy,9140578617,263048913824,OLWNU1512N,2000-07-11,"985, JP Layout, Vivekananda Area",Nagpur,Maharashtra,440001
10181,Venkatesh Gomes,9539840289,341612846398,YIRIG7429K,1978-11-23,"936, Kamaraj Nagar, Shyam Area",Hyderabad,Telangana,500006
10182,Pradip Sengupta,9811807156,762017537030,TRSEV6829L,1963-04-20,"8, Tilak Avenue, Subhash Area",Vadodara,Gujarat,390008
10183,Sunita D'Souza,7192124938,630894870605,LZHRM3782I,1997-09-07,"6/11, Ram Colony",Kochi,Kerala,682017
10184,Geeta Chandra,8411076095,631735058319,QTQPC0038C,1971-06-11,"Flat 2R, Laxmi Apartment",Nashik,Maharashtra,422013
10185,Sumitha Chauhan,9399076769,350785931109,SPVXD5346F,1981-10-24,"62/19, Rajiv Marg",Mysuru,Karnataka,570012
10186,Amit Ghosh,8954508920,588065333153,RSZPI5964F,1969-05-28,"Flat 8P, Gandhi Enclave",Hyderabad,Telangana,500001
10187,Meena Thakkar,7050150812,673950033423,XSIOE0890V,1972-04-24,"959, Tilak Marg, Patel Area",Varanasi,Uttar Pradesh,221002
10188,Malathi Tiwari,6223386559,830993842530,QHDNP4777T,1965-10-26,"H.No. 770, Mohan Bhavan, Vallabh Cross",Mangaluru,Karnataka,575006
10189,Minal Pinto,9774969033,573634669254,ODCLJ5464O,1998-10-20,"S.No. 325, Vivekananda Avenue",Kolkata,West Bengal,700006
10190,Lakshmi Roy,6431115083,735444392840,UHJZY8706Y,1973-05-23,"Flat 19Z, Periyar Bhavan",Imphal,Manipur,795004
10191,Tapan Chakraborty,8153663778,252924075536,LTTRH5501K,1995-01-25,"H.No. 66, Mohan Residency, Bose Avenue",Varanasi,Uttar Pradesh,221004
10192,Sneha Chandra,6820970231,843348170580,EWKEC5409G,1971-08-28,"Flat 19G, JP Bhavan",Imphal,Manipur,795002
10193,Raghavan Iyer,6271693859,977901475469,VWKEQ4366D,1995-04-22,"907/9, Sardar Nagar",Gaya,Bihar,823001
